name,location,price,rating,quality,review,bed,size,distance_from_center,room_type,nights,adults,free_cancellation
Apart hotel Centre de Paris by Studio prestige,"10th arr., Paris","IRR 11,942,331",8,Very good,246 reviews,Multiple bed types,,1.7,Deluxe Family Suite,1 night, 3 adults,
UCPA SPORT STATION HOSTEL PARIS,"19th arr., Paris","IRR 6,367,641",8,Very good,"5,921 reviews",4 single beds,,4.6,Quadruple Room,1 night, 3 adults,
Le Nest by Sweet Inn,"17th arr., Paris","IRR 13,925,911",8.8,Fabulous,667 reviews,"2 beds (1 single, 1 double)",,3.5,Junior Suite,1 night, 3 adults,
Hotel du Collectionneur,"8th arr., Paris","IRR 31,197,437",8.3,Very good,"3,511 reviews",2 double beds,,4,Deluxe Room with 2 Double Beds,1 night, 3 adults,
Mode Paris Aparthotel,"16th arr., Paris","IRR 19,881,858",9.2,Superb,480 reviews,"2 beds (1 double, 1 sofa bed)",25m²,5,Standard Triple Studio,1 night, 3 adults,
My Nest Inn Paris Quartier Latin - 27m2 - Rénové,"5th arr., Paris","IRR 5,766,520",8.5,Very good,97 reviews,"2 beds (1 single, 1 double)",27m²,2,One-Bedroom Apartment,1 night, 3 adults,
Odéon - Notre Dame Paris Climatisé-Wifi,"6th arr., Paris","IRR 9,491,390",9.1,Superb,350 reviews,"2 beds (1 sofa bed, 1 large double)",28m²,1.1,One-Bedroom Apartment,1 night, 3 adults,
Jardin Saint Honoré Apartments,"1st arr., Paris","IRR 8,650,380",9.3,Superb,664 reviews,"2 beds (1 sofa bed, 1 large double)",41m²,0.8,One-Bedroom Apartment - 6th Floor,1 night, 3 adults,
Hotel Opera Maintenon,"1st arr., Paris","IRR 11,814,177",8.3,Very good,"1,526 reviews",3 single beds,,1.6,Triple Room with 3 Single Beds,1 night, 3 adults,
Hotel Le Rocroy,"10th arr., Paris","IRR 8,129,756",8.1,Very good,"1,486 reviews","2 beds (1 double, 1 sofa bed)",,2.6,Executive Room,1 night, 3 adults,
"The Originals City, Hôtel Lecourbe, Paris Tour Eiffel (Inter-Hotel)","15th arr., Paris","IRR 8,329,996",7.9,Good,"1,911 reviews",Multiple bed types,,3.4,Quadruple Room,1 night, 3 adults,
Elysées Ceramic,"8th arr., Paris","IRR 12,623,949",8.3,Very good,"4,078 reviews","2 beds (1 single, 1 double)",,4.5,Triple Standard,1 night, 3 adults,
Grand Hôtel Des Gobelins,"13th arr., Paris","IRR 8,249,900",8.2,Very good,"2,193 reviews","2 beds (1 sofa bed, 1 large double)",24m²,2.1,Classic Suite,1 night, 3 adults,
Le Patio Bastille,"11th arr., Paris","IRR 17,661,193",8.3,Very good,"2,481 reviews","3 beds (2 singles, 1 double)",,3,Junior Suite Quadruple,1 night, 3 adults,
"voco Paris Montparnasse, an IHG Hotel","14th arr., Paris","IRR 11,573,889",8.3,Very good,"3,637 reviews","2 beds (1 extra-large double, 1 sofa bed)",,2.9,Premium King Room with Sofa Bed,1 night, 3 adults,
Lavie Maison face Palais Royal,"1st arr., Paris","IRR 4,645,575",7.8,Good,13 reviews,"2 beds (1 double, 1 sofa bed)",27m²,1.5,Apartment,1 night, 3 adults,
Hotel Paris Villette,"19th arr., Paris","IRR 7,529,035",7.6,Good,"1,267 reviews",Multiple bed types,,4.3,Triple Room,1 night, 3 adults,
Hotel Campanile Paris-Bercy Village,"12th arr., Paris","IRR 10,372,447",7.9,Good,"7,580 reviews",3 single beds,,3.6,Triple Room,1 night, 3 adults,
Hotel Marena,"9th arr., Paris","IRR 7,488,987",7.9,Good,"1,552 reviews","2 beds (1 single, 1 large double)",,2.6,Standard Triple Room,1 night, 3 adults,
Hotel Terminus Montparnasse,"6th arr., Paris","IRR 9,050,861",7.4,Good,"3,154 reviews","2 beds (1 single, 1 double)",,2.5,Executive Triple Room,1 night, 3 adults,
Courcelles Etoile,"17th arr., Paris","IRR 5,286,344",8.2,Very good,"1,714 reviews","2 beds (1 double, 1 sofa bed)",,5,Suite Exécutive,1 night, 3 adults,
Hôtel Korner Etoile,"17th arr., Paris","IRR 8,722,467",8.3,Very good,"1,720 reviews",Multiple bed types,,5.3,Triple Room,1 night, 3 adults,
Hôtel Moderniste,"15th arr., Paris","IRR 11,173,408",9.1,Superb,"1,668 reviews",Multiple bed types,,4.9,Large Triple Room,1 night, 3 adults,
UCPA SPORT STATION HOSTEL PARIS,"19th arr., Paris","IRR 6,367,641",8,Very good,"5,921 reviews",4 single beds,,4.6,Quadruple Room,1 night, 3 adults,
ibis Budget Paris La Villette 19ème,"19th arr., Paris","IRR 6,740,088",7.2,Good,"14,004 reviews","2 beds (1 double, 1 bunk bed)",,3.6,Room with One Queen Bed and One Bunk Bed,1 night, 3 adults,
Hotel CIS Paris Maurice Ravel,"12th arr., Paris","IRR 5,927,113",7.3,Good,"3,315 reviews",4 single beds,,4.7,Quadruple Room,1 night, 3 adults,
Hôtel Jarry Confort,"10th arr., Paris","IRR 4,885,863",6.1,Review score,"3,864 reviews","2 beds (1 single, 1 double)",,2,Triple Room,1 night, 3 adults,
Charming two bedroom Wagram 17th,"17th arr., Paris","IRR 3,964,758",7.1,Good,8 reviews,"2 beds (1 single, 1 large double)",45m²,4.9,Two-Bedroom Apartment,1 night, 3 adults,
Ciel de Paris,"11th arr., Paris","IRR 4,004,806",4.7,Review score,169 reviews,3 bunk beds,,2.7,Double Room,1 night, 3 adults,
Moulin Vert,"14th arr., Paris","IRR 6,607,930",6.8,Review score,"1,583 reviews","2 beds (1 single, 1 double)",,3.6,Triple Room,1 night, 3 adults,
Ibis Budget Paris porte de la Chapelle - Aréna,"18th arr., Paris","IRR 6,696,035",6.9,Review score,"4,623 reviews","2 beds (1 bunk bed, 1 large double)",,5,Standard Double Room with One Bunk Bed,1 night, 3 adults,
Le Nest by Sweet Inn,"17th arr., Paris","IRR 13,925,911",8.8,Fabulous,667 reviews,"2 beds (1 single, 1 double)",,3.5,Junior Suite,1 night, 3 adults,
Apart hotel Centre de Paris by Studio prestige,"10th arr., Paris","IRR 11,942,331",8,Very good,246 reviews,Multiple bed types,,1.7,Deluxe Family Suite,1 night, 3 adults,
CMG Résidence Bastille - Saint Antoine,"12th arr., Paris","IRR 4,565,479",7.3,Good,60 reviews,"2 beds (1 double, 1 sofa bed)",30m²,2,Studio,1 night, 3 adults,
Grand Hôtel Magenta,"10th arr., Paris","IRR 5,967,161",6.9,Review score,"2,867 reviews","2 beds (1 single, 1 double)",,2.7,Triple Room,1 night, 3 adults,
Logement entier proche de Butte aux cailles,"13th arr., Paris","IRR 3,043,652",5.3,Review score,3 reviews,"2 beds (1 double, 1 futon)",,3.6,One-Bedroom Apartment,1 night, 3 adults,
Hotel Le Rocroy,"10th arr., Paris","IRR 8,129,756",8.1,Very good,"1,486 reviews","2 beds (1 double, 1 sofa bed)",,2.6,Executive Room,1 night, 3 adults,
Hotel Marena,"9th arr., Paris","IRR 7,488,987",7.9,Good,"1,552 reviews","2 beds (1 single, 1 large double)",,2.6,Standard Triple Room,1 night, 3 adults,
Hôtel Du Brabant,"10th arr., Paris","IRR 5,166,199",5.6,Review score,"2,020 reviews","2 beds (1 single, 1 double)",,2.3,Triple Room,1 night, 3 adults,
CMG Voltaire / Nation,"11th arr., Paris","IRR 4,765,719",8,Very good,172 reviews,"2 beds (1 double, 1 sofa bed)",30m²,2.6,Apartment,1 night, 3 adults,
Loft in heart of Paris Moulin Rouge,"17th arr., Paris","IRR 3,460,152",7.4,Good,50 reviews,"2 beds (1 double, 1 sofa bed)",,3.7,Apartment,1 night, 3 adults,
Le Patio Bastille,"11th arr., Paris","IRR 17,661,193",8.3,Very good,"2,481 reviews","3 beds (2 singles, 1 double)",,3,Junior Suite Quadruple,1 night, 3 adults,
Hotel du Collectionneur,"8th arr., Paris","IRR 31,197,437",8.3,Very good,"3,511 reviews",2 double beds,,4,Deluxe Room with 2 Double Beds,1 night, 3 adults,
Lennon by Avalon Hotel Paris Gare du Nord,"10th arr., Paris","IRR 6,908,290",7.4,Good,"2,242 reviews","2 beds (1 single, 1 double)",,2.7,Triple Room,1 night, 3 adults,
Courcelles Etoile,"17th arr., Paris","IRR 5,286,344",8.2,Very good,"1,714 reviews","2 beds (1 double, 1 sofa bed)",,5,Suite Exécutive,1 night, 3 adults,
Hôtel Korner Etoile,"17th arr., Paris","IRR 8,722,467",8.3,Very good,"1,720 reviews",Multiple bed types,,5.3,Triple Room,1 night, 3 adults,
Hipotel Paris Printania Maraichers,"20th arr., Paris","IRR 3,804,565",5.1,Review score,784 reviews,Multiple bed types,,4.3,Triple Room (3 Adults),1 night, 3 adults,
Hotel CIS Paris Maurice Ravel,"12th arr., Paris","IRR 5,927,113",7.3,Good,"3,315 reviews",4 single beds,,4.7,Quadruple Room,1 night, 3 adults,
Hotel Le Rocroy,"10th arr., Paris","IRR 8,129,756",8.1,Very good,"1,486 reviews","2 beds (1 double, 1 sofa bed)",,2.6,Executive Room,1 night, 3 adults,
Hôtel Moderniste,"15th arr., Paris","IRR 11,173,408",9.1,Superb,"1,668 reviews",Multiple bed types,,4.9,Large Triple Room,1 night, 3 adults,
Hotel Marena,"9th arr., Paris","IRR 7,488,987",7.9,Good,"1,552 reviews","2 beds (1 single, 1 large double)",,2.6,Standard Triple Room,1 night, 3 adults,
UCPA SPORT STATION HOSTEL PARIS,"19th arr., Paris","IRR 6,367,641",8,Very good,"5,921 reviews",4 single beds,,4.6,Quadruple Room,1 night, 3 adults,
ibis Budget Paris La Villette 19ème,"19th arr., Paris","IRR 6,740,088",7.2,Good,"14,004 reviews","2 beds (1 double, 1 bunk bed)",,3.6,Room with One Queen Bed and One Bunk Bed,1 night, 3 adults,
Hôtel Jarry Confort,"10th arr., Paris","IRR 4,885,863",6.1,Review score,"3,864 reviews","2 beds (1 single, 1 double)",,2,Triple Room,1 night, 3 adults,
Charming two bedroom Wagram 17th,"17th arr., Paris","IRR 3,964,758",7.1,Good,8 reviews,"2 beds (1 single, 1 large double)",45m²,4.9,Two-Bedroom Apartment,1 night, 3 adults,
Lennon by Avalon Hotel Paris Gare du Nord,"10th arr., Paris","IRR 6,908,290",7.4,Good,"2,242 reviews","2 beds (1 single, 1 double)",,2.7,Triple Room,1 night, 3 adults,
Ciel de Paris,"11th arr., Paris","IRR 4,004,806",4.7,Review score,169 reviews,3 bunk beds,,2.7,Double Room,1 night, 3 adults,
Saint Georges Lafayette,"9th arr., Paris","IRR 7,929,515",7.8,Good,"2,193 reviews",3 single beds,,2.8,Triple Room,1 night, 3 adults,
My Nest Inn Paris Quartier Latin - 27m2 - Rénové,"5th arr., Paris","IRR 5,766,520",8.5,Very good,97 reviews,"2 beds (1 single, 1 double)",27m²,2,One-Bedroom Apartment,1 night, 3 adults,
Moulin Vert,"14th arr., Paris","IRR 6,607,930",6.8,Review score,"1,583 reviews","2 beds (1 single, 1 double)",,3.6,Triple Room,1 night, 3 adults,
Hôtel Léna,"10th arr., Paris","IRR 9,731,678",7.7,Good,"1,979 reviews","2 beds (1 single, 1 double)",,2.4,Superior Triple Room,1 night, 3 adults,
Ibis Budget Paris porte de la Chapelle - Aréna,"18th arr., Paris","IRR 6,696,035",6.9,Review score,"4,623 reviews","2 beds (1 bunk bed, 1 large double)",,5,Standard Double Room with One Bunk Bed,1 night, 3 adults,
Montparnasse Daguerre,"14th arr., Paris","IRR 9,971,966",8,Very good,"2,186 reviews","2 beds (1 sofa bed, 1 large double)",25m²,3,Junior Suite,1 night, 3 adults,
Hotel Sacha,"9th arr., Paris","IRR 10,412,495",8.1,Very good,"1,406 reviews",3 single beds,,2.7,Comfort Triple Room,1 night, 3 adults,
"voco Paris Montparnasse, an IHG Hotel","14th arr., Paris","IRR 11,573,889",8.3,Very good,"3,637 reviews","2 beds (1 extra-large double, 1 sofa bed)",,2.9,Premium King Room with Sofa Bed,1 night, 3 adults,
Le Nest by Sweet Inn,"17th arr., Paris","IRR 13,925,911",8.8,Fabulous,667 reviews,"2 beds (1 single, 1 double)",,3.5,Junior Suite,1 night, 3 adults,
Apart hotel Centre de Paris by Studio prestige,"10th arr., Paris","IRR 11,942,331",8,Very good,246 reviews,Multiple bed types,,1.7,Deluxe Family Suite,1 night, 3 adults,
CMG Résidence Bastille - Saint Antoine,"12th arr., Paris","IRR 4,565,479",7.3,Good,60 reviews,"2 beds (1 double, 1 sofa bed)",30m²,2,Studio,1 night, 3 adults,
Hôtel Sanso by HappyCulture,"13th arr., Paris","IRR 10,212,255",8.6,Fabulous,"3,280 reviews","2 beds (1 single, 1 large double)",,3.5,Triple Room,1 night, 3 adults,
Courcelles Etoile,"17th arr., Paris","IRR 5,286,344",8.2,Very good,"1,714 reviews","2 beds (1 double, 1 sofa bed)",,5,Suite Exécutive,1 night, 3 adults,
Hôtel Korner Etoile,"17th arr., Paris","IRR 8,722,467",8.3,Very good,"1,720 reviews",Multiple bed types,,5.3,Triple Room,1 night, 3 adults,
Hipotel Paris Printania Maraichers,"20th arr., Paris","IRR 3,804,565",5.1,Review score,784 reviews,Multiple bed types,,4.3,Triple Room (3 Adults),1 night, 3 adults,
Hotel CIS Paris Maurice Ravel,"12th arr., Paris","IRR 5,927,113",7.3,Good,"3,315 reviews",4 single beds,,4.7,Quadruple Room,1 night, 3 adults,
Hotel Le Rocroy,"10th arr., Paris","IRR 8,129,756",8.1,Very good,"1,486 reviews","2 beds (1 double, 1 sofa bed)",,2.6,Executive Room,1 night, 3 adults,
Hôtel Moderniste,"15th arr., Paris","IRR 11,173,408",9.1,Superb,"1,668 reviews",Multiple bed types,,4.9,Large Triple Room,1 night, 3 adults,
Hotel Marena,"9th arr., Paris","IRR 7,488,987",7.9,Good,"1,552 reviews","2 beds (1 single, 1 large double)",,2.6,Standard Triple Room,1 night, 3 adults,
UCPA SPORT STATION HOSTEL PARIS,"19th arr., Paris","IRR 6,367,641",8,Very good,"5,921 reviews",4 single beds,,4.6,Quadruple Room,1 night, 3 adults,
ibis Budget Paris La Villette 19ème,"19th arr., Paris","IRR 6,740,088",7.2,Good,"14,004 reviews","2 beds (1 double, 1 bunk bed)",,3.6,Room with One Queen Bed and One Bunk Bed,1 night, 3 adults,
Hôtel Jarry Confort,"10th arr., Paris","IRR 4,885,863",6.1,Review score,"3,864 reviews","2 beds (1 single, 1 double)",,2,Triple Room,1 night, 3 adults,
Charming two bedroom Wagram 17th,"17th arr., Paris","IRR 3,964,758",7.1,Good,8 reviews,"2 beds (1 single, 1 large double)",45m²,4.9,Two-Bedroom Apartment,1 night, 3 adults,
Eiffel Villa Garibaldi,"15th arr., Paris","IRR 8,650,380",7.5,Good,"1,849 reviews",Multiple bed types,,3.5,Triple Room,1 night, 3 adults,
Ciel de Paris,"11th arr., Paris","IRR 4,004,806",4.7,Review score,169 reviews,3 bunk beds,,2.7,Double Room,1 night, 3 adults,
My Nest Inn Paris Quartier Latin - 27m2 - Rénové,"5th arr., Paris","IRR 5,766,520",8.5,Very good,97 reviews,"2 beds (1 single, 1 double)",27m²,2,One-Bedroom Apartment,1 night, 3 adults,
Moulin Vert,"14th arr., Paris","IRR 6,607,930",6.8,Review score,"1,583 reviews","2 beds (1 single, 1 double)",,3.6,Triple Room,1 night, 3 adults,
Hôtel Léna,"10th arr., Paris","IRR 9,731,678",7.7,Good,"1,979 reviews","2 beds (1 single, 1 double)",,2.4,Superior Triple Room,1 night, 3 adults,
Ibis Budget Paris porte de la Chapelle - Aréna,"18th arr., Paris","IRR 6,696,035",6.9,Review score,"4,623 reviews","2 beds (1 bunk bed, 1 large double)",,5,Standard Double Room with One Bunk Bed,1 night, 3 adults,
Hotel Sacha,"9th arr., Paris","IRR 10,412,495",8.1,Very good,"1,406 reviews",3 single beds,,2.7,Comfort Triple Room,1 night, 3 adults,
"voco Paris Montparnasse, an IHG Hotel","14th arr., Paris","IRR 11,573,889",8.3,Very good,"3,637 reviews","2 beds (1 extra-large double, 1 sofa bed)",,2.9,Premium King Room with Sofa Bed,1 night, 3 adults,
Le Nest by Sweet Inn,"17th arr., Paris","IRR 13,925,911",8.8,Fabulous,667 reviews,"2 beds (1 single, 1 double)",,3.5,Junior Suite,1 night, 3 adults,
CMG Résidence Bastille - Saint Antoine,"12th arr., Paris","IRR 4,565,479",7.3,Good,60 reviews,"2 beds (1 double, 1 sofa bed)",30m²,2,Studio,1 night, 3 adults,
Hôtel Sanso by HappyCulture,"13th arr., Paris","IRR 10,212,255",8.6,Fabulous,"3,280 reviews","2 beds (1 single, 1 large double)",,3.5,Triple Room,1 night, 3 adults,
"The Originals City, Hôtel Lecourbe, Paris Tour Eiffel (Inter-Hotel)","15th arr., Paris","IRR 8,329,996",7.9,Good,"1,911 reviews",Multiple bed types,,3.4,Quadruple Room,1 night, 3 adults,
Hotel Campanile Paris-Bercy Village,"12th arr., Paris","IRR 10,372,447",7.9,Good,"7,580 reviews",3 single beds,,3.6,Triple Room,1 night, 3 adults,
Hotel Puy De Dôme,"18th arr., Paris","IRR 8,410,092",8.1,Very good,"1,742 reviews","2 beds (1 single, 1 double)",,4.4,Standard Triple Room,1 night, 3 adults,Free cancellation
Hôtel Moderniste,"15th arr., Paris","IRR 11,173,408",9.1,Superb,"1,668 reviews",Multiple bed types,,4.9,Large Triple Room,1 night, 3 adults,
Courcelles Etoile,"17th arr., Paris","IRR 5,286,344",8.2,Very good,"1,714 reviews","2 beds (1 double, 1 sofa bed)",,5,Suite Exécutive,1 night, 3 adults,
Hotel CIS Paris Maurice Ravel,"12th arr., Paris","IRR 5,927,113",7.3,Good,"3,315 reviews",4 single beds,,4.7,Quadruple Room,1 night, 3 adults,
Apart hotel Centre de Paris by Studio prestige,"10th arr., Paris","IRR 11,942,331",8,Very good,246 reviews,Multiple bed types,,1.7,Deluxe Family Suite,1 night, 3 adults,
UCPA SPORT STATION HOSTEL PARIS,"19th arr., Paris","IRR 6,367,641",8,Very good,"5,921 reviews",4 single beds,,4.6,Quadruple Room,1 night, 3 adults,
Le Nest by Sweet Inn,"17th arr., Paris","IRR 13,925,911",8.8,Fabulous,667 reviews,"2 beds (1 single, 1 double)",,3.5,Junior Suite,1 night, 3 adults,
Hotel du Collectionneur,"8th arr., Paris","IRR 31,197,437",8.3,Very good,"3,511 reviews",2 double beds,,4,Deluxe Room with 2 Double Beds,1 night, 3 adults,
Mode Paris Aparthotel,"16th arr., Paris","IRR 19,881,858",9.2,Superb,480 reviews,"2 beds (1 double, 1 sofa bed)",25m²,5,Standard Triple Studio,1 night, 3 adults,
My Nest Inn Paris Quartier Latin - 27m2 - Rénové,"5th arr., Paris","IRR 5,766,520",8.5,Very good,97 reviews,"2 beds (1 single, 1 double)",27m²,2,One-Bedroom Apartment,1 night, 3 adults,
Odéon - Notre Dame Paris Climatisé-Wifi,"6th arr., Paris","IRR 9,491,390",9.1,Superb,350 reviews,"2 beds (1 sofa bed, 1 large double)",28m²,1.1,One-Bedroom Apartment,1 night, 3 adults,
Jardin Saint Honoré Apartments,"1st arr., Paris","IRR 8,650,380",9.3,Superb,664 reviews,"2 beds (1 sofa bed, 1 large double)",41m²,0.8,One-Bedroom Apartment - 6th Floor,1 night, 3 adults,
Hotel Opera Maintenon,"1st arr., Paris","IRR 11,814,177",8.3,Very good,"1,526 reviews",3 single beds,,1.6,Triple Room with 3 Single Beds,1 night, 3 adults,
Hotel Le Rocroy,"10th arr., Paris","IRR 8,129,756",8.1,Very good,"1,486 reviews","2 beds (1 double, 1 sofa bed)",,2.6,Executive Room,1 night, 3 adults,
"The Originals City, Hôtel Lecourbe, Paris Tour Eiffel (Inter-Hotel)","15th arr., Paris","IRR 8,329,996",7.9,Good,"1,911 reviews",Multiple bed types,,3.4,Quadruple Room,1 night, 3 adults,
Elysées Ceramic,"8th arr., Paris","IRR 12,623,949",8.3,Very good,"4,078 reviews","2 beds (1 single, 1 double)",,4.5,Triple Standard,1 night, 3 adults,
Grand Hôtel Des Gobelins,"13th arr., Paris","IRR 8,249,900",8.2,Very good,"2,193 reviews","2 beds (1 sofa bed, 1 large double)",24m²,2.1,Classic Suite,1 night, 3 adults,
Le Patio Bastille,"11th arr., Paris","IRR 17,661,193",8.3,Very good,"2,481 reviews","3 beds (2 singles, 1 double)",,3,Junior Suite Quadruple,1 night, 3 adults,
"voco Paris Montparnasse, an IHG Hotel","14th arr., Paris","IRR 11,573,889",8.3,Very good,"3,637 reviews","2 beds (1 extra-large double, 1 sofa bed)",,2.9,Premium King Room with Sofa Bed,1 night, 3 adults,
WIT Hotel,"9th arr., Paris","IRR 8,788,546",7.1,Good,"3,300 reviews","2 beds (1 double, 1 sofa bed)",,1.9,Triple Room,1 night, 3 adults,
Lavie Maison face Palais Royal,"1st arr., Paris","IRR 4,645,575",7.8,Good,13 reviews,"2 beds (1 double, 1 sofa bed)",27m²,1.5,Apartment,1 night, 3 adults,
Hotel Paris Villette,"19th arr., Paris","IRR 7,529,035",7.6,Good,"1,267 reviews",Multiple bed types,,4.3,Triple Room,1 night, 3 adults,
Hotel Campanile Paris-Bercy Village,"12th arr., Paris","IRR 10,372,447",7.9,Good,"7,580 reviews",3 single beds,,3.6,Triple Room,1 night, 3 adults,
Royal Saint Michel,"5th arr., Paris","IRR 11,317,581",8,Very good,"1,830 reviews","3 beds (2 singles, 1 sofa bed)",,0.7,Triple Room - Street View,1 night, 3 adults,
Hotel Marena,"9th arr., Paris","IRR 7,488,987",7.9,Good,"1,552 reviews","2 beds (1 single, 1 large double)",,2.6,Standard Triple Room,1 night, 3 adults,
Hotel Acta Madfor,"Moncloa-Aravaca, Madrid","IRR 61,353,624",8.3,Very good,"3,675 reviews",Multiple bed types,,1.6,Comfort Triple Room,5 nights, 3 adults,
AP Hotel Madrid Airport,"Barajas, Madrid","IRR 56,450,140",7.1,Good,"1,984 reviews",3 single beds,,13.6,Triple Room - Single Beds,5 nights, 3 adults,
Vincci Capitol,"Centro, Madrid","IRR 98,061,674",8.7,Fabulous,"8,476 reviews",Multiple bed types,,500,Double Room with Extra Bed,5 nights, 3 adults,
Vincci Soma,"Salamanca, Madrid","IRR 107,929,515",8.3,Very good,"6,327 reviews",Multiple bed types,,2.3,Triple Room,5 nights, 3 adults,
Apartamentos Puzzle Madrid Sol,"Centro, Madrid","IRR 66,880,256",7.4,Good,455 reviews,"2 beds (1 double, 1 sofa bed)",35m²,200,Apartment - Split Level,5 nights, 3 adults,
Barceló Torre de Madrid,"Moncloa-Aravaca, Madrid","IRR 178,774,529",8.7,Fabulous,"3,142 reviews","2 beds (1 extra-large double, 1 sofa bed)",55m²,1.1,One-Bedroom Suite (3 Adults),5 nights, 3 adults,
Hotel Freedom,"Centro, Madrid","IRR 85,903,084",8.4,Very good,"1,084 reviews",1 large double bed,,0.6,Family Suite,5 nights, 3 adults,
Hotel Nuevo Boston,"San Blas, Madrid","IRR 51,027,233",8.5,Very good,"10,370 reviews",Multiple bed types,,11.3,Triple Room,5 nights, 3 adults,
60 Balconies Iconic,"Centro, Madrid","IRR 149,167,801",9.2,Superb,"1,084 reviews","2 beds (1 double, 1 sofa bed)",39m²,400,Apartment with Terrace,5 nights, 3 adults,
Palacio de los Duques Gran Meliá - The Leading Hotels of the World,"Centro, Madrid","IRR 209,451,342",9.2,Superb,"1,165 reviews",Multiple bed types,,0.6,Suprême Family room,5 nights, 3 adults,
Apartamentos Salvia 4,"Tetuan, Madrid","IRR 67,921,506",8.1,Very good,628 reviews,"3 beds (2 singles, 1 sofa bed)",55m²,5.2,Apartament,5 nights, 3 adults,
Hotel Nuevo Boston,"San Blas, Madrid","IRR 51,027,233",8.5,Very good,"10,370 reviews",Multiple bed types,,11.3,Triple Room,5 nights, 3 adults,
Hotel Acta Madfor,"Moncloa-Aravaca, Madrid","IRR 61,353,624",8.3,Very good,"3,675 reviews",Multiple bed types,,1.6,Comfort Triple Room,5 nights, 3 adults,
Vincci Capitol,"Centro, Madrid","IRR 98,061,674",8.7,Fabulous,"8,476 reviews",Multiple bed types,,500,Double Room with Extra Bed,5 nights, 3 adults,
Apartamentos Salvia 4,"Tetuan, Madrid","IRR 67,921,506",8.1,Very good,628 reviews,"3 beds (2 singles, 1 sofa bed)",55m²,5.2,Apartament,5 nights, 3 adults,
Vincci Soma,"Salamanca, Madrid","IRR 107,929,515",8.3,Very good,"6,327 reviews",Multiple bed types,,2.3,Triple Room,5 nights, 3 adults,
AP Hotel Madrid Airport,"Barajas, Madrid","IRR 56,450,140",7.1,Good,"1,984 reviews",3 single beds,,13.6,Triple Room - Single Beds,5 nights, 3 adults,
L&H La Latina Selection,"Centro, Madrid","IRR 91,176,211",8.9,Fabulous,"2,834 reviews","2 beds (1 double, 1 sofa bed)",,1.1,Triple Room Ground Floor,5 nights, 3 adults,
CH Plaza D'Ort Rooms Madrid,"Centro, Madrid","IRR 46,476,572",5.6,Review score,"1,953 reviews","2 beds (1 single, 1 double)",,300,Double Room with Extra Bed,5 nights, 3 adults,
Apartamentos Puzzle Madrid Sol,"Centro, Madrid","IRR 66,880,256",7.4,Good,455 reviews,"2 beds (1 double, 1 sofa bed)",35m²,200,Apartment - Split Level,5 nights, 3 adults,
Hostal Oporto,"Centro, Madrid","IRR 45,694,834",7.2,Good,"2,438 reviews","2 beds (1 single, 1 double)",,0.5,Basic Triple Room,5 nights, 3 adults,
Hotel Freedom,"Centro, Madrid","IRR 85,903,084",8.4,Very good,"1,084 reviews",1 large double bed,,0.6,Family Suite,5 nights, 3 adults,
Barceló Torre de Madrid,"Moncloa-Aravaca, Madrid","IRR 178,774,529",8.7,Fabulous,"3,142 reviews","2 beds (1 extra-large double, 1 sofa bed)",55m²,1.1,One-Bedroom Suite (3 Adults),5 nights, 3 adults,
LaVida Rooms Madrid,"Carabanchel, Madrid","IRR 50,160,192",5.6,Review score,43 reviews,"2 beds (1 double, 1 sofa bed)",,3.9,Budget Double Room,5 nights, 3 adults,
Palacio de los Duques Gran Meliá - The Leading Hotels of the World,"Centro, Madrid","IRR 209,451,342",9.2,Superb,"1,165 reviews",Multiple bed types,,0.6,Suprême Family room,5 nights, 3 adults,
60 Balconies Iconic,"Centro, Madrid","IRR 149,167,801",9.2,Superb,"1,084 reviews","2 beds (1 double, 1 sofa bed)",39m²,400,Apartment with Terrace,5 nights, 3 adults,
Hotel Acta Madfor,"Moncloa-Aravaca, Madrid","IRR 61,353,624",8.3,Very good,"3,675 reviews",Multiple bed types,,1.6,Comfort Triple Room,5 nights, 3 adults,
AP Hotel Madrid Airport,"Barajas, Madrid","IRR 56,450,140",7.1,Good,"1,984 reviews",3 single beds,,13.6,Triple Room - Single Beds,5 nights, 3 adults,
Vincci Capitol,"Centro, Madrid","IRR 98,061,674",8.7,Fabulous,"8,476 reviews",Multiple bed types,,500,Double Room with Extra Bed,5 nights, 3 adults,
Sterling,"Centro, Madrid","IRR 64,877,853",8,Very good,"1,842 reviews",Multiple bed types,,0.8,Triple Room,5 nights, 3 adults,
Vincci Soma,"Salamanca, Madrid","IRR 107,929,515",8.3,Very good,"6,327 reviews",Multiple bed types,,2.3,Triple Room,5 nights, 3 adults,
Apartamentos Puzzle Madrid Sol,"Centro, Madrid","IRR 66,880,256",7.4,Good,455 reviews,"2 beds (1 double, 1 sofa bed)",35m²,200,Apartment - Split Level,5 nights, 3 adults,
L&H La Latina Selection,"Centro, Madrid","IRR 91,176,211",8.9,Fabulous,"2,834 reviews","2 beds (1 double, 1 sofa bed)",,1.1,Triple Room Ground Floor,5 nights, 3 adults,
Hotel Regina,"Centro, Madrid","IRR 160,192,231",9.3,Superb,"9,371 reviews",Multiple bed types,,300,Alcalá Junior Suite,5 nights, 3 adults,
Hotel Freedom,"Centro, Madrid","IRR 85,903,084",8.4,Very good,"1,084 reviews",1 large double bed,,0.6,Family Suite,5 nights, 3 adults,
